error_code,category,description,remedy,error_type,source_file,ingested_at,content
16#8188,Configuration error - Modbus_Slave | Configuration error - Modbus_Master,Invalid operating mode or broadcast (MB_ADDR = 0) and MODE parameter ≠ 1 | Invalid PZD length,"Select the value 1 for MODE in Broadcast mode or select a different operating mode. | Permitted PZD lengths: 2, 4, 6, 8 words",Modbus | USS,modbus | uss,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8188
category: Configuration error - Modbus_Slave | Configuration error - Modbus_Master
error_type: Modbus | USS
description: Invalid operating mode or broadcast (MB_ADDR = 0) and MODE parameter ≠ 1 | Invalid PZD length
remedy: Select the value 1 for MODE in Broadcast mode or select a different operating mode. | Permitted PZD lengths: 2, 4, 6, 8 words"
16#818C,Configuration error - Modbus_Slave | Configuration error - Modbus_Master,The pointer to a MB_HOLD_REG area must be a data block or a bit memory address area. | Interconnection error of the DATA_PTR parameter | The drive responds with an error message to a parameter request.,"Select a suitable value for the pointer to the MB_HOLD_REG area. | Check the interconnection of the instruction. | Check the response frame of the drive. Check the parameter request. Check if the instructions USS_Read_Param, USS_Write_Param or USS_Port_Scan have reported an error. If they have, check the value of the static tag USS_DB. w_USSExtendedError of the USS_Drive_Control instruction.",Modbus | USS,modbus | uss,2026-08-03T05:55:44.811900+00:00,"error_code: 16#818C
category: Configuration error - Modbus_Slave | Configuration error - Modbus_Master
error_type: Modbus | USS
description: The pointer to a MB_HOLD_REG area must be a data block or a bit memory address area. | Interconnection error of the DATA_PTR parameter | The drive responds with an error message to a parameter request.
remedy: Select a suitable value for the pointer to the MB_HOLD_REG area. | Check the interconnection of the instruction. | Check the response frame of the drive. Check the parameter request. Check if the instructions USS_Read_Param, USS_Write_Param or USS_Port_Scan have reported an error. If they have, check the value of the static tag USS_DB. w_USSExtendedError of the USS_Drive_Control instruction."
16#8452,Configuration error - Modbus_Slave | Error - Modbus_Slave (only communication modules that support Modbus),MB_HOLD_REG is not a pointer to a DB or a bit memory area,Check the MB_HOLD_REG pointer,Modbus,modbus,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8452
category: Configuration error - Modbus_Slave | Error - Modbus_Slave (only communication modules that support Modbus)
error_type: Modbus
description: MB_HOLD_REG is not a pointer to a DB or a bit memory area
remedy: Check the MB_HOLD_REG pointer"
16#8453,Configuration error - Modbus_Slave | Error - Modbus_Slave (only communication modules that support Modbus),MB_HOLD_REG is not a pointer of type BOOL or WORD,Check the MB_HOLD_REG pointer,Modbus,modbus,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8453
category: Configuration error - Modbus_Slave | Error - Modbus_Slave (only communication modules that support Modbus)
error_type: Modbus
description: MB_HOLD_REG is not a pointer of type BOOL or WORD
remedy: Check the MB_HOLD_REG pointer"
16#8454,Configuration error - Modbus_Slave | Error - Modbus_Slave (only communication modules that support Modbus),"The area addressed by MB_HOLD_REG is longer than the DB, or the area addressed is too small for the number of data bytes to be read or written.",Check the MB_HOLD_REG pointer,Modbus,modbus,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8454
category: Configuration error - Modbus_Slave | Error - Modbus_Slave (only communication modules that support Modbus)
error_type: Modbus
description: The area addressed by MB_HOLD_REG is longer than the DB, or the area addressed is too small for the number of data bytes to be read or written.
remedy: Check the MB_HOLD_REG pointer"
16#8455,Configuration error - Modbus_Slave | Error - Modbus_Slave (only communication modules that support Modbus),MB_HOLD_REG points to a write-protected DB,Check the MB_HOLD_REG pointer,Modbus,modbus,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8455
category: Configuration error - Modbus_Slave | Error - Modbus_Slave (only communication modules that support Modbus)
error_type: Modbus
description: MB_HOLD_REG points to a write-protected DB
remedy: Check the MB_HOLD_REG pointer"
16#8456,Configuration error - Modbus_Slave | Error - Modbus_Slave (only communication modules that support Modbus),Error during instruction execution. The cause of the error is shown in the STATUS parameter. | Error during call of SFC51,"Determine the value of the SFCSTATUS parameter. Check what this means in the description for SFC51, STATUS parameter. | Call the Modbus_Slave instruction again",Modbus,modbus,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8456
category: Configuration error - Modbus_Slave | Error - Modbus_Slave (only communication modules that support Modbus)
error_type: Modbus
description: Error during instruction execution. The cause of the error is shown in the STATUS parameter. | Error during call of SFC51
remedy: Determine the value of the SFCSTATUS parameter. Check what this means in the description for SFC51, STATUS parameter. | Call the Modbus_Slave instruction again"
16#8180,Configuration error - Modbus_Master,Invalid value for MB_DB parameter | Length error in response of drive,The value configured for MB_DB (instance data DB) at the Modbus_Comm_Load instruction is not valid. Check the interconnection of the Modbus_Comm_Load instruction and its error messages. | Check the response frame of the drive.,Modbus | USS,modbus | uss,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8180
category: Configuration error - Modbus_Master
error_type: Modbus | USS
description: Invalid value for MB_DB parameter | Length error in response of drive
remedy: The value configured for MB_DB (instance data DB) at the Modbus_Comm_Load instruction is not valid. Check the interconnection of the Modbus_Comm_Load instruction and its error messages. | Check the response frame of the drive."
16#8189,Configuration error - Modbus_Master,Invalid data address | The module does not support this data transmission rate.,Select a suitable value for the data address at the DATA_ADDR parameter. See description Modbus_Master in the Info system | Select a valid data transmission rate for the module.,Modbus | USS,modbus | uss,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8189
category: Configuration error - Modbus_Master
error_type: Modbus | USS
description: Invalid data address | The module does not support this data transmission rate.
remedy: Select a suitable value for the data address at the DATA_ADDR parameter. See description Modbus_Master in the Info system | Select a valid data transmission rate for the module."
16#818A,Configuration error - Modbus_Master,Invalid length | A different request for this drive is currently active.,Select a suitable data length at the DATA_LEN parameter. See description Modbus_Master in the Info system | Repeat the parameter read or write command later.,Modbus | USS,modbus | uss,2026-08-03T05:55:44.811900+00:00,"error_code: 16#818A
category: Configuration error - Modbus_Master
error_type: Modbus | USS
description: Invalid length | A different request for this drive is currently active.
remedy: Select a suitable data length at the DATA_LEN parameter. See description Modbus_Master in the Info system | Repeat the parameter read or write command later."
16#818B,Configuration error - Modbus_Master,Invalid value for DATA_PTR | The drive does not respond.,Select a suitable value for the data pointer at the DATA_PTR parameter (M or DB address). See description Modbus_Master in the Info system | Check the drive.,Modbus | USS,modbus | uss,2026-08-03T05:55:44.811900+00:00,"error_code: 16#818B
category: Configuration error - Modbus_Master
error_type: Modbus | USS
description: Invalid value for DATA_PTR | The drive does not respond.
remedy: Select a suitable value for the data pointer at the DATA_PTR parameter (M or DB address). See description Modbus_Master in the Info system | Check the drive."
16#818D,Configuration error - Modbus_Master,"The area addressed by DATA_PTR is longer than the DB, or the area addressed is too small for the number of data bytes to be read or written. | The drive responds with an access error message to a parameter request.",Check the DATA_PTR pointer | Check the response frame of the drive. Check the parameter request.,Modbus | USS,modbus | uss,2026-08-03T05:55:44.811900+00:00,"error_code: 16#818D
category: Configuration error - Modbus_Master
error_type: Modbus | USS
description: The area addressed by DATA_PTR is longer than the DB, or the area addressed is too small for the number of data bytes to be read or written. | The drive responds with an access error message to a parameter request.
remedy: Check the DATA_PTR pointer | Check the response frame of the drive. Check the parameter request."
16#80D1,Communication errors - Modbus_Master and Modbus_Slave,The waiting time for XON or CTS = ON has expired.,"The communication partner has a fault, is too slow or is offline. Check the communication partner or change the parameters, if necessary.",Modbus,modbus,2026-08-03T05:55:44.811900+00:00,"error_code: 16#80D1
category: Communication errors - Modbus_Master and Modbus_Slave
error_type: Modbus
description: The waiting time for XON or CTS = ON has expired.
remedy: The communication partner has a fault, is too slow or is offline. Check the communication partner or change the parameters, if necessary."
16#80D2,Communication errors - Modbus_Master and Modbus_Slave,"""Hardware RTS always ON"": Send job canceled due to change from DSR = ON to OFF",Check the communication partner. Make sure that DSR is ON for the entire duration of transmission.,Modbus,modbus,2026-08-03T05:55:44.811900+00:00,"error_code: 16#80D2
category: Communication errors - Modbus_Master and Modbus_Slave
error_type: Modbus
description: ""Hardware RTS always ON"": Send job canceled due to change from DSR = ON to OFF
remedy: Check the communication partner. Make sure that DSR is ON for the entire duration of transmission."
16#80E0,Communication errors - Modbus_Master and Modbus_Slave,Frame aborted: Send buffer overflow / send frame too long,In the user program call the instruction more often or configure a communication with data flow control.,Modbus,modbus,2026-08-03T05:55:44.811900+00:00,"error_code: 16#80E0
category: Communication errors - Modbus_Master and Modbus_Slave
error_type: Modbus
description: Frame aborted: Send buffer overflow / send frame too long
remedy: In the user program call the instruction more often or configure a communication with data flow control."
16#80E1,Communication errors - Modbus_Master and Modbus_Slave,Frame aborted: Parity error,"Check the connection line of the communication partners, or verify that the same data transmission rate, parity and stop bit number are configured for both devices.",Modbus,modbus,2026-08-03T05:55:44.811900+00:00,"error_code: 16#80E1
category: Communication errors - Modbus_Master and Modbus_Slave
error_type: Modbus
description: Frame aborted: Parity error
remedy: Check the connection line of the communication partners, or verify that the same data transmission rate, parity and stop bit number are configured for both devices."
16#80E2,Communication errors - Modbus_Master and Modbus_Slave,Frame aborted: Character frame error,"Check the settings for start bit, data bits, parity bit, data transmission rate, and stop bit(s).",Modbus,modbus,2026-08-03T05:55:44.811900+00:00,"error_code: 16#80E2
category: Communication errors - Modbus_Master and Modbus_Slave
error_type: Modbus
description: Frame aborted: Character frame error
remedy: Check the settings for start bit, data bits, parity bit, data transmission rate, and stop bit(s)."
16#80E3,Communication errors - Modbus_Master and Modbus_Slave,Frame aborted: Character overflow error,Check the number of data in the frame of the communication partner.,Modbus,modbus,2026-08-03T05:55:44.811900+00:00,"error_code: 16#80E3
category: Communication errors - Modbus_Master and Modbus_Slave
error_type: Modbus
description: Frame aborted: Character overflow error
remedy: Check the number of data in the frame of the communication partner."
16#80E4,Communication errors - Modbus_Master and Modbus_Slave,Frame aborted: Maximum frame length reached,Select a shorter frame length at the communication partner. The following are valid (depending on the module): 1 to 1024/2048/4096 (bytes),Modbus,modbus,2026-08-03T05:55:44.811900+00:00,"error_code: 16#80E4
category: Communication errors - Modbus_Master and Modbus_Slave
error_type: Modbus
description: Frame aborted: Maximum frame length reached
remedy: Select a shorter frame length at the communication partner. The following are valid (depending on the module): 1 to 1024/2048/4096 (bytes)"
16#80C8,Communication error - Modbus_Master,The slave does not respond within the set time,"Check the data transmission rate, parity and wiring of the slave.",Modbus,modbus,2026-08-03T05:55:44.811900+00:00,"error_code: 16#80C8
category: Communication error - Modbus_Master
error_type: Modbus
description: The slave does not respond within the set time
remedy: Check the data transmission rate, parity and wiring of the slave."
16#80C9,Communication error - Modbus_Master,The slave does not respond within the time set by Blocked_Proc_Timeout.,Check the setting for Blocked_Proc_Timeout. Check if the module has been configured with the Modbus_Comm_Load instruction. The module may possibly need to be reconfigured using Modbus_Comm_Load after a pull/plug or after voltage recovery.,Modbus,modbus,2026-08-03T05:55:44.811900+00:00,"error_code: 16#80C9
category: Communication error - Modbus_Master
error_type: Modbus
description: The slave does not respond within the time set by Blocked_Proc_Timeout.
remedy: Check the setting for Blocked_Proc_Timeout. Check if the module has been configured with the Modbus_Comm_Load instruction. The module may possibly need to be reconfigured using Modbus_Comm_Load after a pull/plug or after voltage recovery."
16#8200,Communication error - Modbus_Master,The interface is busy with an ongoing request.,Repeat the command later. Make sure that there are no commands still running before you start a new one.,Modbus,modbus,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8200
category: Communication error - Modbus_Master
error_type: Modbus
description: The interface is busy with an ongoing request.
remedy: Repeat the command later. Make sure that there are no commands still running before you start a new one."
16#8380,Protocol error - Modbus_Slave (only communication modules that support Modbus) | Protocol error - Modbus_Master (only communication modules that support Modbus) | Error codes 3964(R) protocol,"CRC error | Parameter assignment error: Invalid value for ""Character delay time"".","Checksum error of the Modbus frame. Check the communication partner. | Select a suitable value for ""Character delay time"" (CharacterDelayTime). Valid range of values: 1 to 65535 (ms)",Modbus | PtP,modbus | ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8380
category: Protocol error - Modbus_Slave (only communication modules that support Modbus) | Protocol error - Modbus_Master (only communication modules that support Modbus) | Error codes 3964(R) protocol
error_type: Modbus | PtP
description: CRC error | Parameter assignment error: Invalid value for ""Character delay time"".
remedy: Checksum error of the Modbus frame. Check the communication partner. | Select a suitable value for ""Character delay time"" (CharacterDelayTime). Valid range of values: 1 to 65535 (ms)"
16#8381,Protocol error - Modbus_Slave (only communication modules that support Modbus) | Protocol error - Modbus_Master (only communication modules that support Modbus) | Error codes 3964(R) protocol,"The function code is not supported or is not supported for broadcast. | Response frame from Modbus Slave with the following error message: The function code is not supported. | Parameter assignment error: Invalid value for ""Response timeout"".","Check the communication partner and make sure that a valid function code is sent. | Select a suitable value for ""Response timeout"" (AcknDelayTime). Valid range of values: 1 to 65535 (ms)",Modbus | PtP,modbus | ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8381
category: Protocol error - Modbus_Slave (only communication modules that support Modbus) | Protocol error - Modbus_Master (only communication modules that support Modbus) | Error codes 3964(R) protocol
error_type: Modbus | PtP
description: The function code is not supported or is not supported for broadcast. | Response frame from Modbus Slave with the following error message: The function code is not supported. | Parameter assignment error: Invalid value for ""Response timeout"".
remedy: Check the communication partner and make sure that a valid function code is sent. | Select a suitable value for ""Response timeout"" (AcknDelayTime). Valid range of values: 1 to 65535 (ms)"
16#8382,Protocol error - Modbus_Slave (only communication modules that support Modbus) | Protocol error - Modbus_Master (only communication modules that support Modbus) | Error codes 3964(R) protocol,"Invalid length information in the request frame | Response frame from Modbus Slave with the following error message: Invalid length | Parameter assignment error: Invalid value for ""Priority"".","Select a suitable data length at the DATA_LEN parameter. | Select a suitable data length. | Select a suitable value for ""Priority"" (Priority). The following are valid: High (1) Low (0)",Modbus | PtP,modbus | ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8382
category: Protocol error - Modbus_Slave (only communication modules that support Modbus) | Protocol error - Modbus_Master (only communication modules that support Modbus) | Error codes 3964(R) protocol
error_type: Modbus | PtP
description: Invalid length information in the request frame | Response frame from Modbus Slave with the following error message: Invalid length | Parameter assignment error: Invalid value for ""Priority"".
remedy: Select a suitable data length at the DATA_LEN parameter. | Select a suitable data length. | Select a suitable value for ""Priority"" (Priority). The following are valid: High (1) Low (0)"
16#8383,Protocol error - Modbus_Slave (only communication modules that support Modbus) | Protocol error - Modbus_Master (only communication modules that support Modbus) | Error codes 3964(R) protocol,"Invalid data address in the request frame | Response frame from Modbus Slave with the following error message: Invalid data address in the request frame | Parameter assignment error: Invalid value for ""Block check""","Select a suitable value for the data address at the DATA_ADDR parameter. | Select a suitable value for ""Block check"" (BCC). The following are valid: With block check (1) Without block check (0)",Modbus | PtP,modbus | ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8383
category: Protocol error - Modbus_Slave (only communication modules that support Modbus) | Protocol error - Modbus_Master (only communication modules that support Modbus) | Error codes 3964(R) protocol
error_type: Modbus | PtP
description: Invalid data address in the request frame | Response frame from Modbus Slave with the following error message: Invalid data address in the request frame | Parameter assignment error: Invalid value for ""Block check""
remedy: Select a suitable value for the data address at the DATA_ADDR parameter. | Select a suitable value for ""Block check"" (BCC). The following are valid: With block check (1) Without block check (0)"
16#8384,Protocol error - Modbus_Slave (only communication modules that support Modbus) | Protocol error - Modbus_Master (only communication modules that support Modbus) | Error codes 3964(R) protocol,"Invalid data value error in the request frame | Response frame from Modbus Slave with the following error message: Data value error | Parameter assignment error: Invalid value for ""Connection attempts"".","Check the data value in the request frame of the Modbus master | Check the request frame to the Modbus slave. | Select a suitable value for ""Connection attempts"" (BuildupAttempts). Valid range of values: 1-255",Modbus | PtP,modbus | ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8384
category: Protocol error - Modbus_Slave (only communication modules that support Modbus) | Protocol error - Modbus_Master (only communication modules that support Modbus) | Error codes 3964(R) protocol
error_type: Modbus | PtP
description: Invalid data value error in the request frame | Response frame from Modbus Slave with the following error message: Data value error | Parameter assignment error: Invalid value for ""Connection attempts"".
remedy: Check the data value in the request frame of the Modbus master | Check the request frame to the Modbus slave. | Select a suitable value for ""Connection attempts"" (BuildupAttempts). Valid range of values: 1-255"
16#8385,Protocol error - Modbus_Slave (only communication modules that support Modbus) | Protocol error - Modbus_Master (only communication modules that support Modbus) | Error codes 3964(R) protocol,"The diagnostic value is not supported by the Modbus slave (function code 08) | Response frame from Modbus Slave with the following error message: The diagnostic value is not supported by the Modbus slave | Parameter assignment error: Invalid value for ""Transmission attempts"".","The Modbus slave only supports the diagnostic values 16#0000 and 16#000A. | Select a suitable value for ""Transmission attempts"" (RepetitionAttempts). Valid range of values: 1-255",Modbus | PtP,modbus | ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8385
category: Protocol error - Modbus_Slave (only communication modules that support Modbus) | Protocol error - Modbus_Master (only communication modules that support Modbus) | Error codes 3964(R) protocol
error_type: Modbus | PtP
description: The diagnostic value is not supported by the Modbus slave (function code 08) | Response frame from Modbus Slave with the following error message: The diagnostic value is not supported by the Modbus slave | Parameter assignment error: Invalid value for ""Transmission attempts"".
remedy: The Modbus slave only supports the diagnostic values 16#0000 and 16#000A. | Select a suitable value for ""Transmission attempts"" (RepetitionAttempts). Valid range of values: 1-255"
16#8386,Protocol error - Modbus_Master (only communication modules that support Modbus) | Error codes 3964(R) protocol,The returned function code does not match the requested function code. | Runtime error: Number of connection attempts exceeded,Check the response frame and the addressing of the slave. | Check the interface cable and the transmission parameters. Also check whether the receive function is configured correctly at the partner device.,Modbus | PtP,modbus | ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8386
category: Protocol error - Modbus_Master (only communication modules that support Modbus) | Error codes 3964(R) protocol
error_type: Modbus | PtP
description: The returned function code does not match the requested function code. | Runtime error: Number of connection attempts exceeded
remedy: Check the response frame and the addressing of the slave. | Check the interface cable and the transmission parameters. Also check whether the receive function is configured correctly at the partner device."
16#8387,Protocol error - Modbus_Master (only communication modules that support Modbus) | Error codes 3964(R) protocol,A slave that was not requested answers | Runtime error: Number of transmission attempts exceeded,"Check the response frame of the slave. Check the address settings of the slave. | Check the interface cable, the transmission parameters and the configuration of the communication partner.",Modbus | PtP,modbus | ptp,2026-08-03T05:55:44.811900+00:00,"error_code: 16#8387
category: Protocol error - Modbus_Master (only communication modules that support Modbus) | Error codes 3964(R) protocol
error_type: Modbus | PtP
description: A slave that was not requested answers | Runtime error: Number of transmission attempts exceeded
remedy: Check the response frame of the slave. Check the address settings of the slave. | Check the interface cable, the transmission parameters and the configuration of the communication partner."
